ID,REVIEW,LABEL,LENGTH,PREPROCESS,LENGTH_PRE
0,"The waiter is not friendly, the person wears night guard glasses",1,64,waiter not friendly person wears night guard glasses,52
1,"kakaknya enak bangetttt, pelayanannya cepet tanggap dan yang pertama murah senyum",5,81,kakak enak bangetttt cepet tanggap pertama murah senyum,55
2,"Pelayanan sangatt ramah, banyak promoanyaa",5,42,sangatt ramah banyak promoanyaa,31
3,Tempatnya nyaman dan bersih,5,27,nyaman bersih,13
4,"Pelayanan cepat dan bagus, coba Durian Coffee yang baru mantapp...",5,66,cepat bagus coba durian coffee baru mantapp,43
5,Enak....nyaman,5,14,enak nyaman,11
6,"Pelayananya cepat ,ramah, baik",5,30,pelayananya cepat ramah baik,28
7,"Pelayanan lama, semrawut, penyanian pesanan customer yg order dulu kalah cepat dengan yg order belakangnya. Ayo semangat berbenah untuk lebih baik lagi",1,151,lama semrawut sani pesan customer order dulu kalah cepat order belakang ayo semangat benah lebih baik,101
8,"Kopken ngagel tempat paling the best buat nugas     pelayanan nya ramah, cuma wastafel di lantai 3 ga bisa nyala. But overall semuanya baguss",5,141,kopken ngagel paling best buat nugas ramah cuma wastafel lantai ga nyala overall semua baguss,93
9,Pelayanannya ramah. Mudah2an mutunya selalu stabil rasa kopinya.,5,64,ramah mudah mutu selalu stabil rasa kopi,40
10,Promonya  banyak banget,5,23,promonya banyak banget,22
11,Makasi mantap,5,13,makas mantap,12
12,Pelayanan super lama dan pegawai wanita nya tidak sopan dan cara bicaranya kasar ke pembeli,1,91,super lama pegawai wanita tidak sopan cara bicara kasar beli,60
13,Soto Lamongan di jl menganti Wiyung,5,35,soto lamongan jl anti wiyung,28
14,"Enak buat nongkrong atau kerja tugas karena tempatnya luas, bersih, tidak terlalu ramai. Di tiap meja ada colokan, dan jika kita request cable roll mereka menyediakan untuk dipinjam gratis. Kopi dan makanannya tidak perlu diragukan lagi, sesuai standard Excelso.",5,262,enak buat nongkrong kerja tugas karena luas bersih tidak terlalu ramai tiap meja colok request cable roll sedia pinjam gratis kopi tidak perlu ragu sesuai standard excelso,171
15,"pelayanannya oke deh, tempatnya juga bersih",5,43,oke deh bersih,14
16,Ada smooking area di balkon...enak buat rileks .,5,48,smooking area balkon enak buat rileks,37
17,Nyaman.cozy.recommended buat yg mau santai atau meeting kecil2 an,5,65,nyaman cozy recommended buat mau santai meeting kecil,53
18,Tempat kumpul keluarga yang sangat rekomendasi...,5,49,kumpul keluarga sangat rekomendasi,34
19,Salah satu tempat ngopi ngeteh dan nyantai sejenak ketika belanja di Tunjungan Plaza Surabaya,5,93,salah satu ngopi ngeteh nyantai jenak belanja tunjung plaza surabaya,68
20,"Nyaman sekali, waktu datang juga gak rame, bartendernya kasih saran minuman yg Oke juga, utk harga cenderung murah juga",5,119,nyaman sekali waktu datang gak rame bartendernya kasih saran oke utk harga cenderung murah,90
21,"Beli lewat grab karna lg ada promo, oreo cookies n cream nya enak manisnya pas gk kemanisan rata2 minuman cookies n cream manisnya over tp ini enggak oreo nya gk pelit",5,167,beli lewat grab karna lg promo oreo cookies cream enak manis pas gk manis rata cookies cream manis tp enggak oreo gk pelit,122
22,Pemesanan cepat menggunakan aplikasi. Kopi disajikan cukup cepat tidak sampai 10 menit. Disediakan meja dan kursi untuk menunggu namun tidak banyak.,5,148,mesan cepat aplikasi kopi saji cukup cepat tidak menit sedia meja kursi tunggu namun tidak banyak,97
23,strawberry lemonade nya,5,23,strawberry lemonade,19
24,Ayam Bakar Primarasa (Januari 2024) - Harganya murah - Rasanya enak - Parkir luas bisa menampung 40 mobil - Bisa menampung 200 orang - Variasi makanan cukup banyak dan masakan umum tapi enak - Penyajiannya juga cepat Dukung ekonomi lokal !!!,5,241,ayam bakar primarasa januari harga murah rasa enak parkir luas tampung mobil tampung orang variasi cukup banyak masakan umum tapi enak saji cepat dukung ekonomi lokal,166
25,tempat yg cocok buat relaksasi pikiran sambil ngopi,5,51,cocok buat relaksasi pikir ngopi,32
26,"Tlg app shopee foodnya jgn di aktifkan kalau belum ready bos !!.. terutama pagi ya.. karena merchant chatime tidak bs di hubungi, clu gini kasihan para drivernya bos kena dompret customer",1,187,tlg app shopee foodnya jgn aktif kalau belum ready bos utama pagi karena merchant chatime tidak bs hubung clu gin kasihan drivernya bos kena dompret customer,157
27,"Salah satu minuman yang aku suka, wajib banget cobain.",5,54,salah satu aku suka wajib banget cobain,39
28,"Pelayanan lama, soalnya baristanya satu aja",2,43,lama soal baristanya satu aja,29
29,Rasa dan kualitas sesuai. Semoga tetap konsisten mengenai rasa di counter ini,4,77,rasa kualitas sesuai moga tetap konsisten kena rasa counter,59
30,"Tempatnya agak kecil ya jadi kalau didalem full harus yang outdoor, apalagi kalau ada kegiatan di gor nya ga bakal kebagian di dalam.",5,133,agak kecil jadi kalau dalem full outdoor apalagi kalau giat gor ga bakal,72
31,Enak bgt dan nyaman suasananya,5,30,enak bgt nyaman suasana,23
32,"Tempat nyaman, bersih, fasilitas oke bngt dehh",5,46,nyaman bersih fasilitas oke bngt dehh,37
33,pelayananya ramah,5,17,pelayananya ramah,17
34,"Lokasi berada didalam pom bensin PB. Parkir banyak, mudah, dan gratis. Lokasi strategis. Akses mudah. Pelayanan ramah. Kopinya enak, penataan rapi. Didalam ruangan sejuk karena ada pendingin ruangan, dan bersih juga. Parking: Lokasi parkir berada didepan kedai kopi Kid-friendliness: Tidak cocok untuk anak-anak",5,311,lokasi pom bensin pb parkir banyak mudah gratis lokasi strategis akses mudah ramah kopi enak tata rapi ruang sejuk karena dingin ruang bersih parking lokasi parkir depan kedai kopi kidfriendliness tidak cocok anak,213
35,tempatnya sempit .,3,18,sempit,6
36,Karyawanya cantik cantik,5,24,karyawanya cantik cantik,24
37,Cuma antri tempat parkirnya...,5,30,cuma antri parkir,17
38,"Enak, mantap banget",5,19,enak mantap banget,18
39,Cari angin tipis2,4,17,cari angin tipis,16
40,"Pelayanan lemot, kurang ramah, pesan satu menu saja hampir 1 jam.....",1,69,lot kurang ramah pesan satu menu hampir jam,43
41,"Makananya sangat recommended semua, pelayanan semua crew jg ramah2",5,66,makananya sangat recommended semua semua crew jg ramah,54
42,"It s the most delicious, good good",5,34,delicious good good,19
43,Tempat yg nyaman. Makan minum oke. Kntang gorengnya kurang....Lain kali sy tdk akan pesan,4,89,nyaman oke kntang goreng kurang lain kali sy tdk pesan,54
44,Birthday treats nya mantap. Steak nya enak.,5,43,birthday treats mantap steak enak,33
45,"Kasir ramah banget banget banget. Seingetku nama kasirnya kak Vember (I guess so? yg tertulis di layar spt itu). Aku beli Chatime pake kupon disc dr salah satu apps, biasanya kasir lgsg jutek klo customer beli pake promo, ini ngga dong, ramah banget. Pdhl posisi udh pesen minuman dan aku lupa cara pake kuponnya, eh kakaknya nyuruh buat inget2 dulu cara pake kuponnya, pdhl itu aku udh bilang buat ga usah pake kupon aja. Luv banget pokoknya. Terima kasih banyak kak Vember",5,474,kasir ramah banget banget banget seingetku nama kasir kak vember guess tulis layar spt aku beli chatime pake kupon disc dr salah satu apps biasa kasir lgsg jutek klo customer beli pake promo ngga dong ramah banget pdhl posisi udh sen aku lupa cara pake kupon eh kakak nyuruh buat inget dulu cara pake kupon pdhl aku udh bilang buat ga usah pake kupon aja luv banget pokok terima kasih banyak kak vember,402
