ID,REVIEW,LABEL,LENGTH,PREPROCESS,LENGTH_PRE
0,"The waiter is not friendly, the person wears night guard glasses",1,64,the waiter is not friendly the person wears night guard glasses,63
1,"kakaknya enak bangetttt, pelayanannya cepet tanggap dan yang pertama murah senyum",5,81,kakak enak bangetttt layan cepet tanggap pertama murah senyum,61
2,"Pelayanan sangatt ramah, banyak promoanyaa",5,42,layan sangatt ramah banyak promoanyaa,37
3,Tempatnya nyaman dan bersih,5,27,tempat nyaman bersih,20
4,"Pelayanan cepat dan bagus, coba Durian Coffee yang baru mantapp...",5,66,layan cepat bagus coba durian coffee baru mantapp,49
5,Enak....nyaman,5,14,enak nyaman,11
6,"Pelayananya cepat ,ramah, baik",5,30,pelayananya cepat ramah baik,28
7,"Pelayanan lama, semrawut, penyanian pesanan customer yg order dulu kalah cepat dengan yg order belakangnya. Ayo semangat berbenah untuk lebih baik lagi",1,151,layan lama semrawut sani pesan customer order dulu kalah cepat order belakang ayo semangat benah lebih baik,107
8,"Kopken ngagel tempat paling the best buat nugas     pelayanan nya ramah, cuma wastafel di lantai 3 ga bisa nyala. But overall semuanya baguss",5,141,kopken ngagel tempat paling the best buat nugas layan ramah cuma wastafel lantai 3 nyala but overall semua baguss,113
9,Pelayanannya ramah. Mudah2an mutunya selalu stabil rasa kopinya.,5,64,layan ramah mudah2an mutu selalu stabil rasa kopi,49
10,Promonya  banyak banget,5,23,promonya banyak banget,22
11,Makasi mantap,5,13,makas mantap,12
12,Pelayanan super lama dan pegawai wanita nya tidak sopan dan cara bicaranya kasar ke pembeli,1,91,layan super lama pegawai wanita sopan cara bicara kasar beli,60
13,Soto Lamongan di jl menganti Wiyung,5,35,soto lamongan jl anti wiyung,28
14,"Enak buat nongkrong atau kerja tugas karena tempatnya luas, bersih, tidak terlalu ramai. Di tiap meja ada colokan, dan jika kita request cable roll mereka menyediakan untuk dipinjam gratis. Kopi dan makanannya tidak perlu diragukan lagi, sesuai standard Excelso.",5,262,enak buat nongkrong kerja tugas tempat luas bersih terlalu ramai tiap meja colok jika request cable roll sedia pinjam gratis kopi makan perlu ragu sesuai standard excelso,170
15,"pelayanannya oke deh, tempatnya juga bersih",5,43,layan oke deh tempat bersih,27
16,Ada smooking area di balkon...enak buat rileks .,5,48,smooking area balkon enak buat rileks,37
17,Nyaman.cozy.recommended buat yg mau santai atau meeting kecil2 an,5,65,nyaman cozy recommended buat mau santai meeting kecil2 an,57
18,Tempat kumpul keluarga yang sangat rekomendasi...,5,49,tempat kumpul keluarga sangat rekomendasi,41
19,Salah satu tempat ngopi ngeteh dan nyantai sejenak ketika belanja di Tunjungan Plaza Surabaya,5,93,salah satu tempat ngopi ngeteh nyantai jenak belanja tunjung plaza surabaya,75
20,"Nyaman sekali, waktu datang juga gak rame, bartendernya kasih saran minuman yg Oke juga, utk harga cenderung murah juga",5,119,nyaman sekali waktu datang gak rame bartendernya kasih saran minum oke utk harga cenderung murah,96
21,"Beli lewat grab karna lg ada promo, oreo cookies n cream nya enak manisnya pas gk kemanisan rata2 minuman cookies n cream manisnya over tp ini enggak oreo nya gk pelit",5,167,beli lewat grab karna lg promo oreo cookies n cream enak manis pas gk manis rata2 minum cookies n cream manis over tp enggak oreo gk pelit,138
22,Pemesanan cepat menggunakan aplikasi. Kopi disajikan cukup cepat tidak sampai 10 menit. Disediakan meja dan kursi untuk menunggu namun tidak banyak.,5,148,mesan cepat aplikasi kopi saji cukup cepat sampai 10 menit sedia meja kursi tunggu tidak banyak,95
23,strawberry lemonade nya,5,23,strawberry lemonade,19
24,Ayam Bakar Primarasa (Januari 2024) - Harganya murah - Rasanya enak - Parkir luas bisa menampung 40 mobil - Bisa menampung 200 orang - Variasi makanan cukup banyak dan masakan umum tapi enak - Penyajiannya juga cepat Dukung ekonomi lokal !!!,5,241,ayam bakar primarasa januari 2024 - harga murah - rasa enak - parkir luas tampung 40 mobil - tampung 200 orang - variasi makan cukup banyak masakan umum enak - saji cepat dukung ekonomi lokal,191
25,tempat yg cocok buat relaksasi pikiran sambil ngopi,5,51,tempat cocok buat relaksasi pikir ngopi,39
