ID	REVIEW	LABEL
0	The waiter is not friendly, the person wears night guard glasses	1
1	kak nya enak banget, pelayanan nya cepat tanggap dan yang pertama murah senyum	5
2	Pelayanan sangat ramah, banyak promo nya	5
3	tempat nya nyaman dan bersih	5
4	Pelayanan cepat dan bagus, coba Durian Coffee yang baru mantap...	5
5	Enak....nyaman	5
6	Pelayanan nya cepat ,ramah, baik	5
7	Pelayanan lama, semrawut, penyajian pesanan customer yang order dulu kalah cepat dengan yang order belakang nya. Ayo semangat berbenah untuk lebih baik lagi	1
8	Kopken tempat paling the best buat nugas     pelayanan nya ramah, hanya wastafel di lantai 3 tidak bisa nyala. But overall semua nya bagus	5
9	Pelayanan nya ramah. mutu nya selalu stabil rasa kopi nya.	5
10	Promo nya  banyak banget	5
11	Makasi mantap	5
12	Pelayanan super lama dan pegawai wanita nya tidak sopan dan cara bicara nya kasar ke pembeli	1
13	Soto Lamongan di jalan Wiyung	5
14	Enak buat nongkrong atau kerja tugas karena tempat nya luas, bersih, tidak terlalu ramai. Di setiap meja ada colokan, dan kalau kita request cable roll mereka menyediakan untuk dipinjam gratis. Kopi dan makanan nya tidak perlu diragukan lagi, sesuai standard Excelso.	5
15	pelayanan nya oke deh, tempat nya juga bersih	5
16	Ada smoking area di balkon...enak buat rileks .	5
17	Nyaman.cozy.recommended buat yang mau santai atau meeting kecil2 an	5
18	Tempat kumpul keluarga yang sangat rekomendasi...	5
19	Salah satu tempat ngopi ngeteh dan nyantai sejenak ketika belanja di Tunjungan Plaza Surabaya	5
20	Nyaman sekali, waktu datang juga tidak ramai, bartender nya kasih saran minuman yang Oke juga, untuk harga cenderung murah juga	5
21	Beli lewat grab karena lagi ada promo, oreo cookies dan cream nya enak manis nya pas tidak kemanisan rata2 minuman cookies dan cream manis nya over tetapi ini enggak oreo nya tidak pelit	5
22	Pemesanan cepat menggunakan aplikasi. Kopi disajikan cukup cepat tidak sampai 10 menit. Disediakan meja dan kursi untuk menunggu namun tidak banyak.	5
23	strawberry lemonade nya	5
24	Ayam Bakar Primarasa (Januari 2024) - harga nya murah - rasa nya enak - Parkir luas bisa menampung 40 mobil - Bisa menampung 200 orang - Variasi makanan cukup banyak dan masakan umum tetapi enak - penyajian nya juga cepat Dukung ekonomi lokal !!!	5
25	tempat yang cocok buat relaksasi pikiran sambil ngopi	5
26	Tolong app shopee food nya jangan di aktifkan kalau belum ready bos !!.. terutama pagi ya.. karena merchant chatime tidak bisa di hubungi, kalau begini kasihan para driver nya bos kena dompret customer	1
27	Salah satu minuman yang aku suka, wajib banget cobain.	5
28	Pelayanan lama, soalnya barista nya satu saja	2
29	Rasa dan kualitas sesuai. Semoga tetap konsisten mengenai rasa di counter ini	4
30	tempat nya agak kecil ya jadi kalau didalem full harus yang outdoor, apalagi kalau ada kegiatan di gor nya tidak bakal kebagian di dalam.	5
31	Enak banget dan nyaman suasana nya	5
32	Tempat nyaman, bersih, fasilitas oke banget deh	5
33	pelayanan nya ramah	5
34	Lokasi berada di dalam pom bensin PB. Parkir banyak, mudah, dan gratis. Lokasi strategis. Akses mudah. Pelayanan ramah. kopi nya enak, penataan rapi. Didalam ruangan sejuk karena ada pendingin ruangan, dan bersih juga. Parking: Lokasi parkir berada didepan kedai kopi Kid-friendliness: Tidak cocok untuk anak-anak	5
35	tempat nya sempit .	3
36	Karyawan nya cantik cantik	5
37	Cuma antri tempat parkir nya...	5
38	Enak, mantap banget	5
39	Cari angin tipis2	4
40	Pelayanan lama, kurang ramah, pesan satu menu saja hampir 1 jam.....	1
41	Makanan nya sangat recommended semua, pelayanan semua crew juga ramah2	5
42	It's the most delicious, good good	5
43	Tempat yang nyaman. Makan minum oke. Kentang goreng nya kurang....Lain kali saya tidak akan pesan	4
44	Birthday treats nya mantap. Steak nya enak.	5
45	Kasir ramah banget banget banget. Seingetku nama kasir nya kak Vember (I guess so? yang tertulis di layar seperti itu). Aku beli Chatime pakai kupon discount dari salah satu apps, biasanya kasir langsung jutek kalau customer beli pakai promo, ini tidak dong, ramah banget. padahal posisi sudah pesan minuman dan aku lupa cara pakai kupon nya, eh kak nya nyuruh buat inget2 dulu cara pakai kupon nya, padahal itu aku sudah bilang buat tidak usah pakai kupon saja. Luv banget pokoknya. terimakasih banyak kak Vember	5
46	Gurih Kering, Enak bangett !!! Hanya buka sampai 3.15 saja. Parking Fee	5
47	tempat nya nyaman dan bagus sekali	5
48	Beli super fruit tea, gula normal. Gula di cheske ini sepertinya pemanis buatan. ketika minum es teh nya, selalu after taste di mulut dan lidah itu pahit-manis. mirip sekali dengan minuman pemanis buatan. ketika beli di toko lain seperti ke** itu tidak ada after taste seperti ini.	1
49	Untuk kak Ahmad Fajar Muzzaki kalau ada masalah mnding pulang saja deh, daripada jutek banget sama customer.	1
50	Cozy Placed, tempat yang oke banget buat nongkrong,ketemu teman atau kerja dengan laptop. Kopi dan makan standard Excelso, selalu jadi tempat favorit di Excelso all cabang	4
51	Pelayanan ramah, hanya agak lama kalau ramai	4
52	Murah enak, pelayanan bagus ramah, recommended	5
53	tempat nya bersih, nyaman, menu nya recommended. harga nya juga terjangkau	5
54	nyaman sih tempat nya , enak banget buat meeting atu nongkrong	5
55	Cocok untuk kerjain tugas, kurang cocok untuk yang dompet pas2an seperti saya	5
56	Beli pakai gofood paket rawon dan rawon kuah tetapi yang dateng kuah rawon saja dan irisan daging kecil hanya 1, sudah bayar 54 ribu lagi setelah dapat promo. yang benar saja lah..	1
57	tempat nya nyaman banget walau tidak terlalu besar, ada ac dan toilet di dalam nya. coba2 cream cheese toast nya enak dan tidak manis banget walaupun sudah dingin, tetapi rasa cream cheese tidak terlalu kerasa. pelayanan nya juga mantap	5
58	tempat nya sih cozy. Pelayanan juga oke banget. Sayang mau masuk ke dalam susah jalan nya kecil banget belum lagi kalau bareng sama yang lagi payment atau pegawai nya yang berdiri depan kasir	4
