ID	REVIEW	LABEL
0	The waiter is not friendly, the person wears night guard glasses	1
1	kakaknya enak bangetttt, pelayanannya cepet tanggap dan yang pertama murah senyum	5
2	Pelayanan sangatt ramah, banyak promoanyaa	5
3	Tempatnya nyaman dan bersih	5
4	Pelayanan cepat dan bagus, coba Durian Coffee yang baru mantapp...	5
5	Enak....nyaman	5
6	Pelayananya cepat ,ramah, baik	5
7	Pelayanan lama, semrawut, penyanian pesanan customer yg order dulu kalah cepat dengan yg order belakangnya. Ayo semangat berbenah untuk lebih baik lagi	1
8	Kopken ngagel tempat paling the best buat nugas     pelayanan nya ramah, cuma wastafel di lantai 3 ga bisa nyala. But overall semuanya baguss	5
9	Pelayanannya ramah. Mudah2an mutunya selalu stabil rasa kopinya.	5
10	Promonya  banyak banget	5
11	Makasi mantap	5
12	Pelayanan super lama dan pegawai wanita nya tidak sopan dan cara bicaranya kasar ke pembeli	1
13	Soto Lamongan di jl menganti Wiyung	5
14	Enak buat nongkrong atau kerja tugas karena tempatnya luas, bersih, tidak terlalu ramai. Di tiap meja ada colokan, dan jika kita request cable roll mereka menyediakan untuk dipinjam gratis. Kopi dan makanannya tidak perlu diragukan lagi, sesuai standard Excelso.	5
15	pelayanannya oke deh, tempatnya juga bersih	5
16	Ada smooking area di balkon...enak buat rileks .	5
17	Nyaman.cozy.recommended buat yg mau santai atau meeting kecil2 an	5
18	Tempat kumpul keluarga yang sangat rekomendasi...	5
19	Salah satu tempat ngopi ngeteh dan nyantai sejenak ketika belanja di Tunjungan Plaza Surabaya	5
20	Nyaman sekali, waktu datang juga gak rame, bartendernya kasih saran minuman yg Oke juga, utk harga cenderung murah juga	5
21	Beli lewat grab karna lg ada promo, oreo cookies n cream nya enak manisnya pas gk kemanisan rata2 minuman cookies n cream manisnya over tp ini enggak oreo nya gk pelit	5
22	Pemesanan cepat menggunakan aplikasi. Kopi disajikan cukup cepat tidak sampai 10 menit. Disediakan meja dan kursi untuk menunggu namun tidak banyak.	5
23	strawberry lemonade nya	5
24	Ayam Bakar Primarasa (Januari 2024) - Harganya murah - Rasanya enak - Parkir luas bisa menampung 40 mobil - Bisa menampung 200 orang - Variasi makanan cukup banyak dan masakan umum tapi enak - Penyajiannya juga cepat Dukung ekonomi lokal !!!	5
25	tempat yg cocok buat relaksasi pikiran sambil ngopi	5
26	Tlg app shopee foodnya jgn di aktifkan kalau belum ready bos !!.. terutama pagi ya.. karena merchant chatime tidak bs di hubungi, clu gini kasihan para drivernya bos kena dompret customer	1
27	Salah satu minuman yang aku suka, wajib banget cobain.	5
28	Pelayanan lama, soalnya baristanya satu aja	2
29	Rasa dan kualitas sesuai. Semoga tetap konsisten mengenai rasa di counter ini	4
30	Tempatnya agak kecil ya jadi kalau didalem full harus yang outdoor, apalagi kalau ada kegiatan di gor nya ga bakal kebagian di dalam.	5
31	Enak bgt dan nyaman suasananya	5
32	Tempat nyaman, bersih, fasilitas oke bngt dehh	5
33	pelayananya ramah	5
34	Lokasi berada didalam pom bensin PB. Parkir banyak, mudah, dan gratis. Lokasi strategis. Akses mudah. Pelayanan ramah. Kopinya enak, penataan rapi. Didalam ruangan sejuk karena ada pendingin ruangan, dan bersih juga. Parking: Lokasi parkir berada didepan kedai kopi Kid-friendliness: Tidak cocok untuk anak-anak	5
35	tempatnya sempit .	3
36	Karyawanya cantik cantik	5
37	Cuma antri tempat parkirnya...	5
38	Enak, mantap banget	5
39	Cari angin tipis2	4
40	Pelayanan lemot, kurang ramah, pesan satu menu saja hampir 1 jam.....	1
41	Makananya sangat recommended semua, pelayanan semua crew jg ramah2	5
42	It s the most delicious, good good	5
43	Tempat yg nyaman. Makan minum oke. Kntang gorengnya kurang....Lain kali sy tdk akan pesan	4
44	Birthday treats nya mantap. Steak nya enak.	5
