REVIEW,LABEL
"LOCATION: Letaknya di perempatan jalan, di depannya terdapat gereja lama GKJW. Lokasinya sangat strategis dan mudah ditemukan. Akses parkir juga mudah. VIBES: Tempatnya luas dan memiliki 2 lantaj, indoor dan outdoor. Ada banyak meja yang tersedia di sini. AC-nya dingin sekali terutama saat malam hari. SERVICE, TASTE & PRICE: Barista nya cepat dan ramah, self-service. Menunya seperti Starbucks pada umumnya. Harga masih terjangkau, terkadang ada promo melalui Line Apps, atau aplikasi Starbucks official nya. Pembayaran bisa QRIS atau tunai. FACILITIES: WiFi tersedia dan cepat. Toilet di lantai 1 dan bersih. Ada banyak tempat charging. MORE REVIEW: Overall, salah satu Starbucks di Surabaya Timur yang nyaman. cocok untuk me time dan bertemu teman.",5
"Boleh lah sesekali kesini, makanan biasa saja .. dibilang enak, ya cukup lumayan! Dibilang enak, ya cukup layak dimakan! Biasa order ikan semua .. krn rekomendasinya ya ikan!",5
Tempatnya enak biarpun tidak luas. Suasana nyaman,5
"depot bu Rudy antri, driver gojek kalau dapet order bu Rudy pgs itu di dahulukan sama customer uang parkir gak ada",3
saya sering banget makan di tempat ini ...tapi lama lama sambalnya kok kurang sip apa karna orange yg nyambel ganti ya !??,3
"Dpt pengalaman kurang asik, tapi untung direspon dengan baik sama manajernya. Semoga bisa jadi perbaikan ke depan.",5
Pelayanan lama,5
Nyaman dan Tasty,5
"pelayanan nya ramah dan cepet, minumannya enak, WORTH IT sama harga nyaa",5
pesanan cepat sampai,5
"Lamban,, apalagi kalo ke driver online, nunggu sampe Dine ini kelar, meski datang duluan",5
"Makanannya enak..,",5
Tempatnya bagus bersih. Parkirannya juga luas. Karywannya ramah.,5
"Ramah, nyaman dan aman.",5
tempatnya asri dan nyaman,5
"Kecewa aja . Semuanya sih so far so good. Enggak tau kenapa kali ini zonk. Pesan iga penyet yang dateng ku kira bakal enak. Tapi malah dapet iga yang super alot, gosong dan enggak bisa dimakan . Cuman secuil aja . Sumpah kali ini kecewa",3
Enak untuk rehat... Samping jalan raya... Parkir mobil luas,5
"Enak buat nongki seperi cabang yg lain, minusnya parkirnya susah krn berderetan dgn ruko lain dan dipinggir jalan",5
Hehehe enakkk nyaman poll,5
"Karyawannya ramah, baik, tempat dan suasananya nyaman dehh",5
"Tempatnya strategis buat lokasi ku, dan harganya mahasiswa able banget, udha gitu enakk, bagus dehh",5
"Deserve 5 Star sih buat segalanya disini, makanan bener bener well plated & georgious taste. Staffnya asik, ramah, n welcoming banget dari awal masuk. Suasananya tenang, adem, dan luxurious nuansa cafe cafe high class. Good Job",5
Tempat nyaman dan enak untuk makan bersama teman dan keluarga,5
Good place to work in cafe. Tempatnya nyaman dan tidak terlalu ramai. Souffle is the best!,5
Pelayan atas nma DANDY tlong di bimbing kurang SOPAN,5
Minuman favorit sejak sekolah. Cihuyyyy,5
"Makanan oke.. kebersihan kurang, apalagi di lt2. karyawan makan di sembarang tempat",5
"30 menit pesanan belum selesai , padahal tamunya lengang",5
"Klo nunggu anak xtra basket & panah, selalu ngadem d kopi kenangan.. pelayanan baik & racikannya ok , temoat juga bersih",5
pelayanannya ramah sekalii kopinya jg enak fresh brew beda dari kopi kenangan lain,5
Di perbaiki lagi masalah urutan antrian,5
"Sangat TIDAK PROFESIONAL !!!! Sdh jam 8.10 masih belum buka. Ini STARBUCKS LOH !!!! Saya tungguin aja di dlm, mau tahu sampai kapan barista nya tawarin saya mau pesan apa. Tapi memang Starbucks Graha Pena sangat2x jauh dari ekspektasi sebuah gerai Starbucks baik interior maupun profesionalitas barista nya. Btw yg nunggu saya dan ada 1 org pelanggan. Hari ini Rabu tgl 31 Jan 2024",3
Untuk kopinya enak. Kopi farian Palm sugar nya. Roti kenangan favoritnya keju.,5
Mantap banget...,5
Kafe yang nyaman buat nongki2,5
Pelayanan untuk takeaway nya parah,5
Cheese creamnya sudah agak asam,5
"Saya beli kopi black aren. Sama mereka dikasih campuran air putih. Padahal saya beli di tempat lain tidak ada campuran..isinya hanya kopi, fres milk dan gula aren.",5
Steak legendaris Surabaya,5
"Letaknya dekat Masjid, motor parkir didekatnya pintu masuk gang.",5
"Pesen kopi kenangan mantan ehh di kasinya americano gaara2 aplikasinya yg ga flexible, jelas2 diaplkasi sudah tertera kopken mantan, eh di outlet ga ada, pelanggan yg dirugikan.",5
"Enak, fresh, ga nyesal kalo makan disini.",5
tempatnya enak banget,5
Enak bgt buat ngerjain tugas kuliah tempat nya nyaman bgt dan pelayanan nya sih ramah ramah bgttt,5
"comfy bangett tempatnya, pelayanan nya juga oke bangett, pokonya sangatt recommended!!",5
pelayanan nya kureng,5
"Makanan yg disajikan hampir semua enak,dgn porsi yg cukup banyak dan penampilan menarik ( menggugah selera ).Area parkirbya juga nyaman dan aman.",5
Bagus harganya bisa ditrima porsi ok,5
pelayanan cepat tapi counternya sempit ga kayak yg di Tunjungan Plaza,5
"Tempat sangat cozzy, apalagi menu Cupbop nya yg recomended, toppoki with mozza, chickinpop korean ma hotdagnya yg best bagiku. Cocok buat kalian yg pacaran ataupun nugas",5
yang bener aja rugi dong masa pesen gacoan level 2 rasanya kek level 4 terus gacoan level 3 rasanya kek level 0,3
"Pertama kali mengopi di Excelso SUB Sulawesi. Suasananya nyaman, pelayanan sangat membantu, juga cocok dengan sajian amerikananya. Harga, layanan, dan produk seirama. Terima kasih.",5
"tolomg donk barista yg masih pakek baju putih, yg sopan kalau bicara sama cust, bukan teriak kayak tarzan, bicara sama customer teriak, dipikir saya budek, udah saya antri panjang, bisa bisanya dia nudug saya ga antri di depan banyak cust lain,ga sopan, tolong donk starbuck perusahaan besar memperkerjaka! org dengan attirude yang baik, membuat org tidak nyaman",5
Mantap seperti xcelso2 lain nya tempat nyaman bersih pelayanan baik cm staff cowo 1 agak sombong   mungkin bisa di perbaiki,5
"1. Info dari waitress E voucher Di app tidak bisa digunakan Karena engga bisa, Akhirnya member engga bisa digunakan. 2. WiFi juga engga bisa 3. Salah input jumlah bill Di qris. 4. Untuk permasalahan no.1 sebenernya yg tidak bisa alatnya atau waitress nya, jika waitress nya Mohon untuk Di upgrade product knowledge nya... Pertama Dan terakhir ngopi disini.",5
Akhirnya ketemu Kopi Kenangan guys. Di Cepu belum ada soalnya. Buka cabang juga dong di Cepu.,5
"javachip frappe blen lebih kaya milkshake kopi krn ice blend terlalu cairrr , whip cream cairrr KEK MANAAAA!!!!! red velvet frappe ok",5
"KOI Cafe, rasa kopinya kurang terasa, after tastenya di lidah rasa manisnya sehari ga hilang, pelayanannya cepat karena lagi sepi",5
"Ini restoran gk niat untuk online gk usah di online in, order dari tadi customernya sdh bayar duluan via shopeepay, malah didahulukan yang dine in, prefesionalnya dimana, kalo orang pinter sapa dulu online apa dine in yang beli, diapk sdh kerja sama kan langsung disiapkan, tapi karyawan anda lalai Tolong diperbaiki tuh karyawannya biar lebih prefesional lagi!!! Tuh karyawanannya",3
"Kamis, 15 Februari 2024. Saya datang pukul sekitar 12.45, pelayanannya sangat buruk, kasir perempuan sangat ketus. Padahal tidak terlalu ramai saat itu.",5
"Tempat ole2 yg ga ada ditempat Laen nih, mantabb gaes",5
Beli online terlalu lama pegawainya kalau gak bisa kerja d ganti aja biar cepet,3
"Tempat makan untuk keluarga atau kawan yang nyaman dan bersih. Pilihan makanan dan minuman beragam dan rasanya enak-enak. Saya pesan gurame bakar, tahu goreng, karedok, tumis daun labu dan bakwan goreng, serta es kelapa muda dan jus alpukat semua nya enak. Untuk harga masih bersahabat dan pembayaran bisa pakai QRIS dan debit juga. Mantap lah",5
"Resiko sepeda ilang , tempat masuk GG kelinci",5
"Tempat nya nyaman sekali. Tidak terlalu ramai, selain itu barista nya ramah. WIFI nya pun lancar   . Jadi salah satu tempat yang cocok untuk productive maupun meluangkan waktu untuk membaca.",5
"Rekomen buat ngopi, kalo lg mampir di Pakuwon ...",5
Lokasi Tempat nya Di City Of Tomorrow Lantai 1 Food Court,5
"Tolong di perhatiakan untuk aplikasi grab tolong di buka mesin nya jgan menyampingkan ya kita sama sama kerja   klau ad orderan tolong di buka paham , jgan nunggu driver datang update dikit , resto laen sdah di proses , paham,",3
"Antrinya lama banget apalagi pas bulan ramadhan , terkadang kasirnya juga cuek dan terkesan jutek. Kemasan makanannya oke tapi kualitas rasanya kurang pas , kadang kemanisan banget kadang kurang manis atau kebanyakan es",3
"Pesan Level 1 kok kyak level 3, mulut sampek kebakar, gak kayak gacoan di outlet lain.",3
"Fettucine carbonara nya tidak worth it, jadi tidak saya photo... biasanya enak, tapi disini terlalu matang hingga fetuccine terlalu lembek ... kemudian sudah kita complain, dimasakkan lagi, tetep saja masih lembek ? Koki nya mana nih ? Langganan sejak th 2000an tp baru x ini , tidak puas .. jadi bintangnya untuk promo nya, Sandwich ok , minuman ok , pelayanan baik ...",5
"Kafe Excelso yang terletak di TP2, sedang ada Promo Cendol Latte dan Canela Latte sekarang...",5
Lokasinya di GM 1 dekat kasir ranch market. Chatime yg lebih premium,5
Mantaps buat makan bersama keluarga.,5
Pelayanan cepat dan tepat,5
"Tempat sangat enak untuk nongkrong, rasa dan harga minumannya sangat worth it untuk dibeli",5
Tiap senin dapat promo kopi terimakasih,5
Pelayannya kurang ramah..suka buru2 kpd pembeli dalam memilih pesanan,5
"Masnya ganteng, aku sampe gagal fokus pas order    anyway kopi machiatonyaaa daebak?!!?!!!! Endullll.",5
Kopi Kenangan Mantan sih paling juara,5
stok ayam nya kurang banyak jam 20.30 sdh habis,5
"Banyak promo, pelayanan ramah",5
sy order dory sambal sereh tapi yg dtg dory grg yg kecil sekali spt hny ekornya sj yg di krm.bgmn resto yg bgs bs begini.biasanya tdk spt ini.sungguh mengecewakan sy,3
"Rasanya enak, terutama lumpia udang favorit banget ..",5
"Sudah nambah espreso shott,sugar 50 persen,rasa masih kemanisan,gak kayak biasa nya pesen di ciputra mall....kecewa banget...",5
Bagus ..saya suka ..,5
"Ga masok, menyusahkan",5
tempatnya bersih,5
